package_name,is_obsolete
com.powderwatts.pro,1
eu.virtualtraining,1
com.vitpr.VRZombieShooter,1
be.michielvk.utracer3,1
com.batteryexpander,1
app.niraxx.life,1
com.citrusdev.clubcatcher,1
com.home.weather.radar,1
com.ylst.wecsee,1
com.ventel.android.radardroid.lite,1
com.alltvremote.allsetupboxremote.remote.control,1
com.promovie.promovieapp.promoviemod,1
com.sindiwaka.castfroria,1
com.weedle.boss_ac_remotes,1
com.actofit.androidwearV2,1
cast.tv.smartview.screenmirroring,1
relay54.android.client,1
kr.co.chience.undercover,1
net.oxdb.Celsius,1
com.vision.cameras.arizona,1
screen.mirroring.screenmirroring.casting.casttotv.screencast.tv.tvcast.miracast,1
com.ovalmoney.oval,1
com.porsche.connect,1
com.ios.controlcenter.assistivetouch.notificationcenter,1
com.westinghousetvirremote,1
com.app.microchip.audiowidget,1
com.remotecontrolforalltvpro.universalremotecontroller,1
fr.gouv.android.stopcovid,1
com.beinmedia.okmenuapp.luluphone,1
com.vison.macrochip.sj.blackfin,1
com.powerx.consumer.userapp,1
com.reduit.boost,1
com.cylan.jiafeigou.doby,1
com.threedmagic.carradio,1
com.xenon.jinvoo,1
com.slt.fitpro,1
researchcenter.notification.lockscreen,1
com.ain.as505,1
jungo.app,1
com.app.climatech,1
com.gule.myapplication,1
com.trakitnow.moskeet,1
com.code4real.remote,1
com.weedle.car_jvc_remotes,1
com.androo.AmazfitT.RexPro,1
com.spartacus,1
com.newbright.truckcar,1
dk.nortec.nortecpay,1
com.mhoneywellhermostatuide.fdhg,1
com.vision.cameras.wisconsin,1
com.brewha,1
screenmirroring.screensharing.cast,1
com.hybridit.nemt_cardinal,1
com.navylotus.mentaljanken,1
com.diamondmattress.control,1
com.hangarbot.morgan,1
com.onmovo.onmovoscooterrental,1
com.surajtechnologies.focusguard,1
com.gps.gpsvehitrack,1
com.qingteng.google.healtymanager,1
eu.bischofs.mapcam,1
com.voxx.mobile.headrest,1
com.ifms_reach.v3,1
tjsapps.tools.vw,1
com.claudiuspeters.live,1
ch.feller.zeptrion,1
com.safaedev.unplug_chargingstatus,1
com.elmeasure.elnetpps,1
com.kinomap.bh,1
com.endomondo.android,1
com.digisineproducts.streetlamp,1
com.kaspersky.kes,1
com.tool.goluk,1
com.qsrautomations.displayclient,1
com.walk.whapps,1
com.soundaround.sereneviewera,1
com.protectstar.cameraguardfree,1
com.ascon.kompasviewer,1
io.guh.maveo,1
com.trainerize.boldfx,1
com.appsetup.RealmeBudsAirProAppGuide,1
com.xinggame.cast.screen.mirroring.remote.control,1
com.trainerize.ninetysecondy,1
com.codeatelier.homee.smartphone.pum,1
com.divinememorygames.pedometer.steps.calorie.counter,1
com.massagerapp,1
db1000.zila.de,1
com.fisher_price.android,1
com.stratoscientific.stethio,1
uni.UNI8F1BBE2,1
tv.ac.dvd.camera.projector.remote.control.universal.forall.setupbox,1
de.controled.iknix,1
com.DroidDev29.repairsystemphone,1
com.abbtools.tvtoshiba,1
com.sportsbeams.android,1
